date,marketing_spend_vnd,website_visits,daily_net_revenue_vnd
2024-01-01,3995468,48400,2548893
2024-01-02,4406193,53045,6276663
2024-01-03,2860647,34634,3710070
2024-01-04,4403450,52955,1280336
2024-01-05,3479242,41821,8096900
2024-01-06,3551029,42941,7030415
2024-01-07,3541832,42505,3054578
2024-01-08,3257236,39555,5903284
2024-01-09,3396093,40942,687617
2024-01-10,3972449,47872,2172207
2024-01-11,4619609,55633,1022901
2024-01-12,3998110,48253,5291406
2024-01-13,3518302,42288,5170209
2024-01-14,3192252,38498,504496
2024-01-15,3547815,43084,9380358
2024-01-16,3691876,44620,1765248
2024-01-17,3339832,40208,4382990
2024-01-18,3667753,44073,3210556
2024-01-19,3618343,43385,3335737
2024-01-20,4871997,58775,3271202
2024-01-21,3051489,36676,5460081
2024-01-22,3817037,46140,2951315
2024-01-23,3673278,44291,2113904
2024-01-24,4022560,48499,5655661
2024-01-25,4038897,48627,3680745
2024-01-26,4530134,54467,4721351
2024-01-27,3987792,47945,4464112
2024-01-28,3762587,45424,3321756
2024-01-29,3987875,47914,2930744
2024-01-30,2655362,31984,1608163
2024-01-31,3801575,45694,3704665
2024-02-01,3956149,47908,2444004
2024-02-02,3836356,45937,6784119
2024-02-03,3745149,45235,2538229
2024-02-04,4208599,51022,1631981
2024-02-05,3907219,46777,436985
2024-02-06,4126097,49791,1828580
2024-02-07,4066498,48865,928706
2024-02-08,3925832,47436,1650637
2024-02-09,3845489,46158,241714
2024-02-10,3768805,45575,5526742
2024-02-11,4333018,52110,4181580
2024-02-12,4902590,58844,3646811
2024-02-13,4361344,52525,526009
2024-02-14,3547015,42654,3628316
2024-02-15,3197715,38216,3473296
2024-02-16,3989160,47873,2484827
2024-02-17,4598395,55590,5056680
2024-02-18,3861486,46502,3288204
2024-02-19,3690284,44577,756384
2024-02-20,3567132,42862,6592473
2024-02-21,5000222,60286,3510590
2024-02-22,3893151,46939,1783639
2024-02-23,4226987,51125,1549080
2024-02-24,3400769,41023,1992299
2024-02-25,3857072,46451,2343977
2024-02-26,5010839,60289,4486260
2024-02-27,3764560,45347,1196323
2024-02-28,4205375,50736,2936762
2024-02-29,3111852,37613,3171696
2024-03-01,3808430,45722,3485123
2024-03-02,2820172,34253,9178321
2024-03-03,3728852,44780,7879232
2024-03-04,3784205,45578,7159788
2024-03-05,4373691,52667,2961724
2024-03-06,3702488,44604,3565183
2024-03-07,3751156,45228,4402672
2024-03-08,3261453,39199,4046222
2024-03-09,3942434,47526,3922742
2024-03-10,4487808,54003,7544181
2024-03-11,2308338,28119,2292305
2024-03-12,4285045,51583,2589996
2024-03-13,3586124,43466,3391272
2024-03-14,3696428,44605,3225799
2024-03-15,3549481,42742,4908001
2024-03-16,3650316,44229,4240657
2024-03-17,3296935,40028,3472097
2024-03-18,3282439,39526,2021290
2024-03-19,3162232,38179,4419943
2024-03-20,4142788,50026,1368443
2024-03-21,4636371,55856,5517439
2024-03-22,3564198,42919,10758009
2024-03-23,3691742,44438,6138240
2024-03-24,3952794,47861,4576499
2024-03-25,3147412,38180,2462783
2024-03-26,4000983,48147,1566055
2024-03-27,3720128,44808,2369271
2024-03-28,2566547,30912,1389143
2024-03-29,4114663,49808,2596323
2024-03-30,3222844,38827,3076985
2024-03-31,3893486,46976,5616184
2024-04-01,3568749,43197,3300286
2024-04-02,4187382,50157,1971984
2024-04-03,3502704,42239,1809112
2024-04-04,4577316,54879,2149157
2024-04-05,4425408,53545,7104261
2024-04-06,3987908,47796,3636285
2024-04-07,5276275,63207,6115124
2024-04-08,3558856,43169,7424503
2024-04-09,3353028,40343,2490307
2024-04-10,4829903,57966,8149229
2024-04-11,4255099,51040,4945490
2024-04-12,4307713,51951,2560581
2024-04-13,4498250,54228,3682877
2024-04-14,4515499,54474,6899689
2024-04-15,3936413,47410,4311351
2024-04-16,3341226,40600,12078263
2024-04-17,2944688,35555,3709324
2024-04-18,3527807,42499,3665994
2024-04-19,3940915,47316,6666760
2024-04-20,4711231,56517,9250412
2024-04-21,3772824,45796,2918058
2024-04-22,2798345,33559,5568999
2024-04-23,4595304,55171,4458070
2024-04-24,4501997,54223,2937300
