order_id,order_date,customer_id,customer_age,customer_gender,region,acquisition_channel,product_category,unit_price_vnd,quantity,discount_pct,gross_revenue_vnd,net_revenue_vnd,unit_cost_vnd,profit_vnd,payment_method,device,delivery_days,customer_satisfaction,is_returned
1,2024-01-01,2627,24.0,Nữ,Hà Nội,Organic,Mỹ phẩm,161000,4,0.011,644000,636924,68199,364128,COD,Mobile,2.0,,0
2,2024-01-01,29,19.0,Nam,TP.HCM,Organic,Thời trang,156000,3,0.027,468000,455265,75554,228603,Ví điện tử,Mobile,4.0,4.0,0
3,2024-01-01,3198,22.0,Nữ,TP.HCM,Organic,Điện tử,198000,3,0.139,594000,511702,140152,91246,COD,Desktop,4.0,4.0,0
4,2024-01-01,3055,28.0,Nữ,Hải Phòng,Facebook Ads,Gia dụng,268000,3,0.045,804000,767776,150930,314986,Ví điện tử,Mobile,8.0,2.0,0
5,2024-01-01,298,18.0,Nam,TP.HCM,Facebook Ads,Thời trang,53000,4,0.164,212000,177226,27959,65390,COD,Mobile,0.0,5.0,0
6,2024-01-02,2976,31.0,Nữ,Đà Nẵng,Facebook Ads,Gia dụng,174000,5,0.1,870000,782792,103075,267417,COD,Mobile,4.0,4.0,0
7,2024-01-02,2799,69.0,Nữ,TP.HCM,Facebook Ads,Thời trang,119000,2,0.1,238000,214101,67989,78123,Ví điện tử,Mobile,6.0,3.0,0
8,2024-01-02,171,35.0,Nữ,TP.HCM,Facebook Ads,Gia dụng,363000,4,0.047,1452000,1383271,217431,513547,Ví điện tử,Mobile,2.0,4.0,1
9,2024-01-02,121,18.0,Nam,Hải Phòng,Facebook Ads,Điện tử,310000,4,0.114,1240000,1099055,220749,216059,Ví điện tử,Mobile,5.0,4.0,0
10,2024-01-02,261,29.0,Nữ,TP.HCM,Facebook Ads,Mỹ phẩm,168000,3,0.065,504000,471482,76011,243449,COD,Mobile,1.0,5.0,0
11,2024-01-02,1511,43.0,Nam,Cần Thơ,Google Ads,Sách,90000,1,0.048,90000,85718,56922,28796,Thẻ tín dụng,Mobile,6.0,5.0,0
12,2024-01-02,3024,34.0,Nam,Đà Nẵng,Organic,Điện tử,498000,5,0.134,2490000,2155716,352457,393431,Ví điện tử,Desktop,1.0,3.0,0
13,2024-01-02,1648,23.0,Nam,Hà Nội,Organic,Sách,89000,1,0.05,89000,84528,62104,22424,Thẻ tín dụng,Desktop,1.0,5.0,0
14,2024-01-03,482,24.0,Nam,Hải Phòng,Google Ads,Mỹ phẩm,159000,5,0.071,795000,738797,67942,399087,COD,Desktop,4.0,3.0,0
15,2024-01-03,953,34.0,Nữ,Hà Nội,Google Ads,Điện tử,236000,4,0.089,944000,859696,177803,148484,COD,Mobile,6.0,3.0,0
